School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Daylesford Secondary College,DAYLESFORD,75,98,26,0.5,3460,VIC FAR COUNTRY
De La Salle College,MALVERN,217,100,30,6.4,3144,HAWTHORN
Derrinallum P-12 College,DERRINALLUM,5,100,30,0,3325,VIC FAR COUNTRY
Diamond Valley College,DIAMOND CREEK,173,95,27,1.6,3089,MELB NORTH WEST
Diamond Valley Learning Centre,GREENSBOROUGH,0,0,0,0,3088,PRESTON
Dimboola Memorial Secondary College,DIMBOOLA,21,100,34,13.1,3414,VIC FAR COUNTRY
Distance Education Centre Victoria,THORNBURY,404,89,28,3.9,3071,PRESTON
Diversitat,GEELONG,0,0,0,0,3220,VIC COUNTRY
Djerriwarrh Community & Education Service,MELTON,0,0,0,0,3337,MELB NORTH WEST
Donald High School,DONALD,34,100,28,2.6,3480,VIC FAR COUNTRY
Doncaster Secondary College,DONCASTER,328,98,29,5.1,3108,RINGWOOD
Donvale Christian College,DONVALE,195,100,33,10.7,3111,RINGWOOD
Dromana Secondary College,DROMANA,183,99,32,7.5,3936,FRANKSTON
Drouin Secondary College,DROUIN,181,100,27,2.2,3818,VIC COUNTRY
East Doncaster Secondary College,EAST DONCASTER,370,99,32,11.6,,
East Loddon P-12 College,DINGEE,29,100,30,1.4,3571,VIC FAR COUNTRY
East Preston Islamic College,PRESTON EAST,33,100,24,0,,
Echuca College,ECHUCA,171,98,26,2.1,3564,VIC FAR COUNTRY
Edenhope College,EDENHOPE,22,100,29,0,3318,VIC FAR COUNTRY
Edinburgh College,LILYDALE,30,100,31,6.5,3140,RINGWOOD
Education Centre Gippsland,WARRAGUL,14,0,0,0,3820,VIC COUNTRY
Elisabeth Murdoch College,LANGWARRIN,318,98,27,3.2,3910,FRANKSTON
Eltham College of Education,RESEARCH,160,100,32,14,3095,PRESTON
Eltham High School,ELTHAM,270,98,29,5.2,3095,PRESTON
Elwood College,ELWOOD,121,94,30,7.3,3184,MOORABBIN
Emerald Secondary College,EMERALD,140,96,28,3.1,3782,FERNTREE GULLY
Emmanuel College,NORTH ALTONA,364,100,29,3.7,,
Emmanuel College,WARRNAMBOOL,271,98,27,3.7,3280,VIC FAR COUNTRY
Emmaus College,BURWOOD,289,100,30,6.1,3125,HAWTHORN
Epping Secondary College,EPPING,186,93,28,3.7,3076,RINGWOOD
Essendon Keilor College,ESSENDON,195,97,25,1.7,3040,FOOTSCRAY
Euroa Secondary College,EUROA,98,93,26,3.9,3666,VIC FAR COUNTRY
F.C.J. College,BENALLA,88,98,28,3.4,3671,VIC FAR COUNTRY
F.C.J. College,BENALLA,88,98,28,3.4,3672,VIC FAR COUNTRY
Fairhills High School,KNOXFIELD,174,93,27,2.3,3180,FERNTREE GULLY
Federation Training,NEWBOROUGH,44,42,22,0,3825,VIC COUNTRY
Federation University Australia,BALLARAT,27,0,0,0,3350,VIC COUNTRY
Federation University Australia,BALLARAT,27,0,0,0,3353,VIC COUNTRY
Fintona Girls School,BALWYN,91,100,35,22,3103,HAWTHORN
Firbank Grammar School,BRIGHTON,236,99,35,24.9,3186,MOORABBIN
Fitzroy High School,FITZROY NORTH,113,100,30,4.7,3068,PRESTON
Flinders Christian Community College,CARRUM DOWNS,139,100,32,6.9,3201,FRANKSTON
Flinders Christian Community College,TRARALGON,23,100,30,1.3,3844,VIC COUNTRY
Flinders Christian Community College,TYABB,142,100,29,5,3913,FRANKSTON
Footscray City College,FOOTSCRAY,168,99,29,4.7,3011,FOOTSCRAY
Forest Hill College,BURWOOD EAST,148,99,25,1.9,3151,HAWTHORN
Foster Secondary College,FOSTER,75,100,27,3.5,3960,VIC FAR COUNTRY
Fountain Gate Secondary College,FOUNTAIN GATE,159,99,28,1.5,3805,DANDENONG
Frankston High School,FRANKSTON,498,100,31,9.3,3199,FRANKSTON
Galen College,WANGARATTA,253,100,30,4.2,3676,VIC FAR COUNTRY
Galen College,WANGARATTA,253,100,30,4.2,3677,VIC FAR COUNTRY
Geelong Baptist College,LOVELY BANKS,30,100,26,4,3213,VIC COUNTRY
Geelong Grammar School,CORIO,219,99,31,8.2,3214,VIC COUNTRY
Geelong High School,EAST GEELONG,188,97,25,1.3,3219,VIC COUNTRY
Geelong Lutheran College,ARMSTRONG CREEK,62,100,29,4.8,3217,VIC COUNTRY
Genazzano F.C.J. College,KEW,286,100,35,22,3101,HAWTHORN
Gilmore College for Girls,FOOTSCRAY,49,100,29,7.4,3011,FOOTSCRAY
Gilson College,TAYLORS HILL,106,100,27,3.2,3037,HAWTHORN
Gippsland Grammar,SALE,173,100,32,11.3,3850,VIC FAR COUNTRY
Gippsland Grammar,SALE,173,100,32,11.3,3853,VIC FAR COUNTRY
Girton Grammar School,BENDIGO,241,100,34,16.6,3550,VIC COUNTRY
Girton Grammar School,BENDIGO,241,100,34,16.6,3552,VIC COUNTRY
Gisborne Secondary College,GISBORNE,249,98,26,2,3437,MELB NORTH WEST
Gladstone Park Secondary College,GLADSTONE PARK,318,100,29,4.7,3043,FOOTSCRAY
Glen Eira College,CAULFIELD EAST,136,99,29,5.1,3145,MULGRAVE
Glen Waverley Secondary College,GLEN WAVERLEY,649,100,33,15.9,3150,MULGRAVE
Gleneagles Secondary College,ENDEAVOUR HILLS,240,96,28,2.9,3802,DANDENONG
Glenroy Neighbourhood Centre,GLENROY,0,0,0,0,3046,FOOTSCRAY
Glenroy Secondary College,GLENROY,81,91,22,1.5,3046,FOOTSCRAY
Glenvale School,YARRAMBAT,108,98,32,13,3091,MELB NORTH WEST
Goldfields Employment & Learning Centre,MARYBOROUGH,0,0,0,0,3465,VIC FAR COUNTRY
Good News Lutheran College,TARNEIT,52,100,25,0.6,3029,MELB NORTH WEST
Good Shepherd College,HAMILTON,11,100,30,3.8,3300,VIC FAR COUNTRY
Gordon Institute,GEELONG,149,94,24,0,3220,VIC COUNTRY
Goroke P-12 College,GOROKE,18,100,29,7.4,3412,VIC FAR COUNTRY
Goulburn Ovens Institute of TAFE,SHEPPARTON,34,0,0,0,3630,VIC COUNTRY
Goulburn Ovens Institute of TAFE,SHEPPARTON,34,0,0,0,3632,VIC COUNTRY
Goulburn Valley Grammar School,SHEPPARTON,147,100,34,17.2,3630,VIC COUNTRY
Goulburn Valley Grammar School,SHEPPARTON,147,100,34,17.2,3632,VIC COUNTRY
Greensborough Secondary College,GREENSBOROUGH,148,98,28,3,3088,PRESTON
Grovedale College,GROVEDALE,152,100,27,4.6,3216,VIC COUNTRY
Haileybury College,KEYSBOROUGH,475,100,35,26.1,3173,DANDENONG
Haileybury Girls College,KEYSBOROUGH,333,100,36,29.5,3173,DANDENONG
Hallam Senior Secondary College,HALLAM,348,90,21,0.2,3803,DANDENONG
Hampton Park Secondary College,HAMPTON PARK,205,99,25,0.7,3976,DANDENONG
