School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Mooroopna Secondary College,Mooroopna,76,97,23,1.3
Mordialloc College,Mordialloc,133,94,27,5.7
Mornington Secondary College,Mornington,364,96,27,1.1
Mortlake College,Mortlake,22,100,33,13.3
Mountain District Christian School,Monbulk,23,93,30,2.9
Mountain District Womens Co-Op,Ferntree Gully,14,0,0,0
Mt Alexander 7-12 College,Flemington,64,94,26,1.5
Mt Beauty Secondary College,Mt Beauty,59,96,27,2.1
Mt Clear College,Mt Clear,168,90,24,1.3
Mt Eliza Secondary College,Mt Eliza,162,99,28,4.2
Mt Erin College,Frankston,133,99,27,0.9
Mt Evelyn Christian School,Mt Evelyn,101,100,30,5.4
Mt Hira College,Keysborough,61,100,27,2.2
Mt Lilydale Mercy College,Lilydale,312,99,29,4.7
Mt Ridley P-12 College,Craigieburn,202,99,25,2.1
Mt Scopus Memorial College,Burwood,212,99,37,35.8
Mt St Joseph Girls College,Altona,213,100,31,7.6
Mt Waverley Secondary College,Mt Waverley,439,99,30,5.9
Mullauna College,Mitcham,110,98,31,8.3
Murrayville Community College,Murrayville,25,100,32,21.4
Murtoa P-12 College,Murtoa,38,96,28,2.4
Myrtleford P-12 College,Myrtleford,30,88,26,1.6
Nagle College,Bairnsdale,165,99,26,1.6
Narre Community Learning Centre,Narre Warren,6,0,0,0
Narre Warren South P-12 College,Narre Warren South,262,98,30,3.8
Nathalia Secondary College,Nathalia,29,100,28,2.2
Nazareth College,Noble Park North,143,100,29,5
Neerim District Secondary College,Neerim South,28,100,28,6.2
Newcomb Secondary College,Newcomb,63,91,24,0
Newhaven College Rhyll,Rhyll,137,100,31,5.2
Nhill College,Nhill,50,100,29,7.5
Noble Park Secondary College,Noble Park,103,97,25,2.1
North Geelong Secondary College,North Geelong,122,96,25,1.9
North Melbourne Grammar College,North Melbourne,24,80,22,0
Northcote High School,Northcote,442,99,31,8.9
Northern Bay P-12 College,Corio,74,88,22,0
Northern College of Arts & Technology,East Preston,289,94,27,4.6
Northside Christian College,Bundoora,28,100,30,10.4
Norwood Secondary College,Ringwood,242,98,28,3.3
Nossal High School,Berwick,424,100,36,21.5
Notre Dame College,Shepparton,395,99,29,6.7
Numurkah Secondary College,Numurkah,35,100,23,0
Nunawading Christian College,Nunawading,43,100,30,8.2
Oakleigh Grammar,Oakleigh,80,100,30,3.1
Oakwood School,Caulfield North,50,100,0,0
Oberon High School,Belmont,124,100,29,4.3
Orbost Secondary College,Orbost,60,95,22,0
Our Lady of Mercy College,Heidelberg,339,100,32,11
Our Lady of Sacred Heart College,Bentleigh,169,98,32,8.2
